GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size,Analysis
deepfakes/faceswap,Y,31057,1112,31280,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/deepchem/deepchem/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained documentation at https://github.com/deepfakes/faceswap/tree/master/docs,Checking https://github.com/deepfakes/faceswap/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/deepfakes/faceswap/issues/985",https://github.com/deepfakes/faceswap/blob/master/LICENSE is provided,There are many files related to testing.,82,2103,Large,True
galaxyproject/galaxy,Y,738,47094,232930,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/galaxyproject/galaxy/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentations at https://github.com/galaxyproject/galaxy/tree/dev/doc,Checking https://github.com/galaxyproject/galaxy/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/galaxyproject/galaxy/issues/9968",https://github.com/galaxyproject/galaxy/blob/dev/LICENSE.txt is provided,There are many files related to testing.,258,3131,Large,True
google/clusterfuzz,Y,4237,1479,87395,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/clusterfuzz/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/clusterfuzz/tree/master/docs",Checking https://github.com/google/clusterfuzz/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/clusterfuzz/issues/1850",https://github.com/google/clusterfuzz/blob/master/LICENSE is provided,There are many files related to testing.,70,1696,Large,True
google/TensorNetwork,Y,1291,445,30285,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/google/TensorNetwork/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and documentations in https://github.com/google/TensorNetwork/tree/master/docs",Checking https://github.com/google/TensorNetwork/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/google/TensorNetwork/issues/712",https://github.com/google/TensorNetwork/blob/master/LICENSE is provided,There are many files related to testing.,50,1610,Large,True
ironmussa/Optimus,Y,901,3510,26405,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/ironmussa/Optimus/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented","No commits the past few months, 3 commits since Jan",More closed issues than open. Project authors respond to issues: https://github.com/idealo/image-super-resolution/issues,https://github.com/ironmussa/Optimus/blob/master/LICENSE,There are many files related to testing.,22,2259,Large,True
microsoft/DeepSpeed,Y,2652,198,21773,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,There are many files related to testing,241,1337,Large,True
pgmpy/pgmpy,Y,1483,2630,23912,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/pgmpy/pgmpy/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/base/UndirectedGraph.py and https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/inference/ExactInference.py and https://github.com/pgmpy/pgmpy/blob/dev/pgmpy/inference/EliminationOrder.py have appropriate docstrings,https://github.com/pgmpy/pgmpy/graphs/commit-activity shows that there are have been activities in the past consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/pgmpy/pgmpy/issues/1298 and https://github.com/pgmpy/pgmpy/issues/1293",https://github.com/pgmpy/pgmpy/blob/dev/LICENSE,There are many files related to testing,99,3653,Large,True
plasticityai/magnitude,Y,1259,338,53869,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/plasticityai/magnitude/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/plasticityai/magnitude/blob/master/LICENSE.txt,There are many files related to testing,4,2035,Large,True
ROCmSoftwarePlatform/tensorflow-upstream,Y,439,90927,699513,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/graphs/contributors shows that there are multiple contributors,"No evidence of CI used, may missed out because there are alot of files",There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/1000 and https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/issues/937",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/blob/develop-upstream/LICENSE is provided.,There are many files related to testing.,407,1987,Large,True
tensorwerk/hangar-py,Y,154,594,25636,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"1 has significantly more commits than others, but 5contributers",Travis used,Documentation provided,Commit activity not negligible,19 open < 44 closed,License provided,Quite a number of tests https://github.com/tensorwerk/hangar-py/tree/master/tests,5,1594,Large,True
Tessellate-Imaging/Monk_Object_Detection,Y,133,265,303930,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/Tessellate-Imaging/Monk_Object_Detection/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not very stable,"The project maintainers respond to issues, as evidenced by https://github.com/Tessellate-Imaging/Monk_Object_Detection/issues/37 and https://github.com/Tessellate-Imaging/Monk_Object_Detection/issues/32 but not often",https://github.com/Tessellate-Imaging/Monk_Object_Detection/blob/master/LICENSE.md is provided.,There are many projects in this git and some of them have test files,13,1351,Large,True
