GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size,Analysis
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",https://github.com/amzn/xfer/blob/master/LICENSE is provided.,There are many projects in this git and some of them have test files,8,1839,Medium,True
black0017/MedicalZooPytorch,N,189,113,6096,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/black0017/MedicalZooPytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/black0017/MedicalZooPytorch/issues/3 and https://github.com/black0017/MedicalZooPytorch/issues/4",https://github.com/black0017/MedicalZooPytorch/blob/master/LICENSE.md is provided.,There are many files related to testing,4,1521,Medium,True
danielhanchen/hyperlearn,N,1166,204,5557,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,CI is not used on the project.,Most of the functions in the source code are not documented.,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,4,1848,Medium,True
DLR-RM/stable-baselines3,Y,438,410,9226,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DLR-RM/stable-baselines3/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/DLR-RM/stable-baselines3/issues/37 and https://github.com/DLR-RM/stable-baselines3/issues/76.",https://github.com/DLR-RM/stable-baselines3/blob/master/LICENSE is provided.,There are many files related to testing.,125,1235,Medium,True
GoogleCloudPlatform/healthcare,Y,236,734,8937,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/healthcare/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/GoogleCloudPlatform/healthcare/issues/391 and https://github.com/GoogleCloudPlatform/healthcare/issues/463",https://github.com/GoogleCloudPlatform/healthcare/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,20,2031,Medium,True
KevinMusgrave/powerful-benchmarker,N,135,162,5632,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/KevinMusgrave/powerful-benchmarker/issues/40 and https://github.com/KevinMusgrave/powerful-benchmarker/issues/39","There is no license to be found, either in the form of a license file or written inside the source code file.",There is no evidence of any testing done on the project.,1,1401,Medium,False
PacktPublishing/Advanced-Deep-Learning-with-Keras,N,681,424,7986,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/8 and https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/issues/2",https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras/blob/master/LICENSE is provided.,There are test files for some of the projects,5,2016,Medium,True
podgorskiy/ALAE,N,2148,288,5580,The source code of the project consists of some ad-hoc scripts.,Multiple contributors (Mainly one): https://github.com/podgorskiy/ALAE/graphs/contributors,No indications of using CI services,"There is a README, some codes are documented","No commits in the past few months, around 12 commits in the last year","More open than closed, author seldom replies",No license,There is no evidence of any testing done on the project.,4,1654,Medium,True
pymc-devs/pymc4,Y,636,218,9754,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/pymc-devs/pymc4/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently",https://github.com/pymc-devs/pymc4/blob/master/LICENSE.txt,There are many files related to testing,27,1953,Medium,True
qiskit-community/qiskit-textbook,N,179,883,8085,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/qiskit-community/qiskit-textbook/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/qiskit-community/qiskit-textbook/blob/master/LICENSE.txt,There is no evidence of any testing done on the project.,232,1503,Medium,True
