project_name,smell_name,occurrences,Lines of Code
tensorflow/io,tensor_array_not_used,22,22569
tensorflow/io,pytorch_call_method_misused,0,22569
tensorflow/io,in_place_apis_misused,0,22569
tensorflow/io,columns_and_datatype_not_explicitly_set,0,22569
tensorflow/io,dataframe_conversion_api_misused,0,22569
tensorflow/io,gradients_not_cleared_before_backward_propagation,0,22569
tensorflow/io,merge_api_parameter_not_explicitly_set,0,22569
tensorflow/io,Chain_Indexing,0,22569
tensorflow/io,nan_equivalence_comparison_misused,0,22569
tensorflow/io,memory_not_freed,0,22569
tensorflow/io,unnecessary_iteration,0,22569
tensorflow/io,matrix_multiplication_api_misused,0,22569
facebookresearch/habitat-api,tensor_array_not_used,0,20933
facebookresearch/habitat-api,pytorch_call_method_misused,3,20933
facebookresearch/habitat-api,in_place_apis_misused,0,20933
facebookresearch/habitat-api,columns_and_datatype_not_explicitly_set,0,20933
facebookresearch/habitat-api,dataframe_conversion_api_misused,0,20933
facebookresearch/habitat-api,gradients_not_cleared_before_backward_propagation,0,20933
facebookresearch/habitat-api,merge_api_parameter_not_explicitly_set,0,20933
facebookresearch/habitat-api,Chain_Indexing,0,20933
facebookresearch/habitat-api,nan_equivalence_comparison_misused,0,20933
facebookresearch/habitat-api,memory_not_freed,0,20933
facebookresearch/habitat-api,unnecessary_iteration,0,20933
facebookresearch/habitat-api,matrix_multiplication_api_misused,0,20933
spmallick/learnopencv,tensor_array_not_used,4,31821
spmallick/learnopencv,pytorch_call_method_misused,4,31821
spmallick/learnopencv,in_place_apis_misused,4,31821
spmallick/learnopencv,columns_and_datatype_not_explicitly_set,18,31821
spmallick/learnopencv,dataframe_conversion_api_misused,7,31821
spmallick/learnopencv,gradients_not_cleared_before_backward_propagation,5,31821
spmallick/learnopencv,merge_api_parameter_not_explicitly_set,0,31821
spmallick/learnopencv,Chain_Indexing,0,31821
spmallick/learnopencv,nan_equivalence_comparison_misused,0,31821
spmallick/learnopencv,memory_not_freed,0,31821
spmallick/learnopencv,unnecessary_iteration,0,31821
spmallick/learnopencv,matrix_multiplication_api_misused,0,31821
ethen8181/machine-learning,tensor_array_not_used,0,18432
ethen8181/machine-learning,pytorch_call_method_misused,2,18432
ethen8181/machine-learning,in_place_apis_misused,2,18432
ethen8181/machine-learning,columns_and_datatype_not_explicitly_set,10,18432
ethen8181/machine-learning,dataframe_conversion_api_misused,0,18432
ethen8181/machine-learning,gradients_not_cleared_before_backward_propagation,0,18432
ethen8181/machine-learning,merge_api_parameter_not_explicitly_set,1,18432
ethen8181/machine-learning,Chain_Indexing,0,18432
ethen8181/machine-learning,nan_equivalence_comparison_misused,0,18432
ethen8181/machine-learning,memory_not_freed,0,18432
ethen8181/machine-learning,unnecessary_iteration,0,18432
ethen8181/machine-learning,matrix_multiplication_api_misused,0,18432
facebookresearch/ReAgent,tensor_array_not_used,0,35109
facebookresearch/ReAgent,pytorch_call_method_misused,1,35109
facebookresearch/ReAgent,in_place_apis_misused,0,35109
facebookresearch/ReAgent,columns_and_datatype_not_explicitly_set,4,35109
facebookresearch/ReAgent,dataframe_conversion_api_misused,0,35109
facebookresearch/ReAgent,gradients_not_cleared_before_backward_propagation,0,35109
facebookresearch/ReAgent,merge_api_parameter_not_explicitly_set,0,35109
facebookresearch/ReAgent,Chain_Indexing,0,35109
facebookresearch/ReAgent,nan_equivalence_comparison_misused,0,35109
facebookresearch/ReAgent,memory_not_freed,0,35109
facebookresearch/ReAgent,unnecessary_iteration,0,35109
facebookresearch/ReAgent,matrix_multiplication_api_misused,0,35109
nussl/nussl,tensor_array_not_used,0,15433
nussl/nussl,pytorch_call_method_misused,2,15433
nussl/nussl,in_place_apis_misused,0,15433
nussl/nussl,columns_and_datatype_not_explicitly_set,1,15433
nussl/nussl,dataframe_conversion_api_misused,0,15433
nussl/nussl,gradients_not_cleared_before_backward_propagation,0,15433
nussl/nussl,merge_api_parameter_not_explicitly_set,0,15433
nussl/nussl,Chain_Indexing,0,15433
nussl/nussl,nan_equivalence_comparison_misused,0,15433
nussl/nussl,memory_not_freed,0,15433
nussl/nussl,unnecessary_iteration,0,15433
nussl/nussl,matrix_multiplication_api_misused,0,15433
MegviiDetection/video_analyst,tensor_array_not_used,0,17656
MegviiDetection/video_analyst,pytorch_call_method_misused,0,17656
MegviiDetection/video_analyst,in_place_apis_misused,0,17656
MegviiDetection/video_analyst,columns_and_datatype_not_explicitly_set,5,17656
MegviiDetection/video_analyst,dataframe_conversion_api_misused,0,17656
MegviiDetection/video_analyst,gradients_not_cleared_before_backward_propagation,0,17656
MegviiDetection/video_analyst,merge_api_parameter_not_explicitly_set,0,17656
MegviiDetection/video_analyst,Chain_Indexing,0,17656
MegviiDetection/video_analyst,nan_equivalence_comparison_misused,0,17656
MegviiDetection/video_analyst,memory_not_freed,0,17656
MegviiDetection/video_analyst,unnecessary_iteration,0,17656
MegviiDetection/video_analyst,matrix_multiplication_api_misused,0,17656
GoogleCloudPlatform/professional-services,tensor_array_not_used,6,43922
GoogleCloudPlatform/professional-services,pytorch_call_method_misused,0,43922
GoogleCloudPlatform/professional-services,in_place_apis_misused,9,43922
GoogleCloudPlatform/professional-services,columns_and_datatype_not_explicitly_set,49,43922
GoogleCloudPlatform/professional-services,dataframe_conversion_api_misused,1,43922
GoogleCloudPlatform/professional-services,gradients_not_cleared_before_backward_propagation,0,43922
GoogleCloudPlatform/professional-services,merge_api_parameter_not_explicitly_set,1,43922
GoogleCloudPlatform/professional-services,Chain_Indexing,1,43922
GoogleCloudPlatform/professional-services,nan_equivalence_comparison_misused,0,43922
GoogleCloudPlatform/professional-services,memory_not_freed,0,43922
GoogleCloudPlatform/professional-services,unnecessary_iteration,0,43922
GoogleCloudPlatform/professional-services,matrix_multiplication_api_misused,0,43922
rusty1s/pytorch_geometric,tensor_array_not_used,0,25564
rusty1s/pytorch_geometric,pytorch_call_method_misused,0,25564
rusty1s/pytorch_geometric,in_place_apis_misused,15,25564
rusty1s/pytorch_geometric,columns_and_datatype_not_explicitly_set,54,25564
rusty1s/pytorch_geometric,dataframe_conversion_api_misused,13,25564
rusty1s/pytorch_geometric,gradients_not_cleared_before_backward_propagation,2,25564
rusty1s/pytorch_geometric,merge_api_parameter_not_explicitly_set,1,25564
rusty1s/pytorch_geometric,Chain_Indexing,2,25564
rusty1s/pytorch_geometric,nan_equivalence_comparison_misused,0,25564
rusty1s/pytorch_geometric,memory_not_freed,0,25564
