project_name,smell_name,occurrences,Lines of Code
eladhoffer/convNet.pytorch,columns_and_datatype_not_explicitly_set,1,4784
eladhoffer/convNet.pytorch,gradients_not_cleared_before_backward_propagation,2,4784
eladhoffer/convNet.pytorch,pytorch_call_method_misused,3,4784
eladhoffer/convNet.pytorch,in_place_apis_misused,0,4784
eladhoffer/convNet.pytorch,tensor_array_not_used,0,4784
eladhoffer/convNet.pytorch,dataframe_conversion_api_misused,0,4784
eladhoffer/convNet.pytorch,Chain_Indexing,0,4784
eladhoffer/convNet.pytorch,merge_api_parameter_not_explicitly_set,0,4784
eladhoffer/convNet.pytorch,memory_not_freed,0,4784
GRAAL-Research/poutyne,columns_and_datatype_not_explicitly_set,2,8568
GRAAL-Research/poutyne,gradients_not_cleared_before_backward_propagation,0,8568
GRAAL-Research/poutyne,pytorch_call_method_misused,0,8568
GRAAL-Research/poutyne,in_place_apis_misused,0,8568
GRAAL-Research/poutyne,tensor_array_not_used,0,8568
GRAAL-Research/poutyne,dataframe_conversion_api_misused,0,8568
GRAAL-Research/poutyne,Chain_Indexing,0,8568
GRAAL-Research/poutyne,merge_api_parameter_not_explicitly_set,0,8568
GRAAL-Research/poutyne,memory_not_freed,0,8568
yzhao062/pyod,columns_and_datatype_not_explicitly_set,0,8105
yzhao062/pyod,gradients_not_cleared_before_backward_propagation,0,8105
yzhao062/pyod,pytorch_call_method_misused,0,8105
yzhao062/pyod,in_place_apis_misused,7,8105
yzhao062/pyod,tensor_array_not_used,0,8105
yzhao062/pyod,dataframe_conversion_api_misused,0,8105
yzhao062/pyod,Chain_Indexing,0,8105
yzhao062/pyod,merge_api_parameter_not_explicitly_set,0,8105
yzhao062/pyod,memory_not_freed,0,8105
tensorflow/compression,columns_and_datatype_not_explicitly_set,0,9362
tensorflow/compression,gradients_not_cleared_before_backward_propagation,0,9362
tensorflow/compression,pytorch_call_method_misused,0,9362
tensorflow/compression,in_place_apis_misused,0,9362
tensorflow/compression,tensor_array_not_used,1,9362
tensorflow/compression,dataframe_conversion_api_misused,0,9362
tensorflow/compression,Chain_Indexing,0,9362
tensorflow/compression,merge_api_parameter_not_explicitly_set,0,9362
tensorflow/compression,memory_not_freed,0,9362
interpretml/interpret-community,columns_and_datatype_not_explicitly_set,1,10062
interpretml/interpret-community,gradients_not_cleared_before_backward_propagation,0,10062
interpretml/interpret-community,pytorch_call_method_misused,0,10062
interpretml/interpret-community,in_place_apis_misused,4,10062
interpretml/interpret-community,tensor_array_not_used,0,10062
interpretml/interpret-community,dataframe_conversion_api_misused,0,10062
interpretml/interpret-community,Chain_Indexing,0,10062
interpretml/interpret-community,merge_api_parameter_not_explicitly_set,0,10062
interpretml/interpret-community,memory_not_freed,0,10062
tslearn-team/tslearn,columns_and_datatype_not_explicitly_set,1,7347
tslearn-team/tslearn,gradients_not_cleared_before_backward_propagation,0,7347
tslearn-team/tslearn,pytorch_call_method_misused,1,7347
tslearn-team/tslearn,in_place_apis_misused,0,7347
tslearn-team/tslearn,tensor_array_not_used,0,7347
tslearn-team/tslearn,dataframe_conversion_api_misused,0,7347
tslearn-team/tslearn,Chain_Indexing,0,7347
tslearn-team/tslearn,merge_api_parameter_not_explicitly_set,0,7347
tslearn-team/tslearn,memory_not_freed,0,7347
keras-team/autokeras,columns_and_datatype_not_explicitly_set,0,10760
keras-team/autokeras,gradients_not_cleared_before_backward_propagation,0,10760
keras-team/autokeras,pytorch_call_method_misused,0,10760
keras-team/autokeras,in_place_apis_misused,0,10760
keras-team/autokeras,tensor_array_not_used,2,10760
keras-team/autokeras,dataframe_conversion_api_misused,0,10760
keras-team/autokeras,Chain_Indexing,0,10760
keras-team/autokeras,merge_api_parameter_not_explicitly_set,0,10760
keras-team/autokeras,memory_not_freed,0,10760
thu-ml/tianshou,columns_and_datatype_not_explicitly_set,0,9696
thu-ml/tianshou,gradients_not_cleared_before_backward_propagation,0,9696
thu-ml/tianshou,pytorch_call_method_misused,2,9696
thu-ml/tianshou,in_place_apis_misused,0,9696
thu-ml/tianshou,tensor_array_not_used,0,9696
thu-ml/tianshou,dataframe_conversion_api_misused,0,9696
thu-ml/tianshou,Chain_Indexing,0,9696
thu-ml/tianshou,merge_api_parameter_not_explicitly_set,0,9696
thu-ml/tianshou,memory_not_freed,0,9696
heartexlabs/label-studio,columns_and_datatype_not_explicitly_set,1,6930
heartexlabs/label-studio,gradients_not_cleared_before_backward_propagation,0,6930
heartexlabs/label-studio,pytorch_call_method_misused,0,6930
heartexlabs/label-studio,in_place_apis_misused,0,6930
heartexlabs/label-studio,tensor_array_not_used,0,6930
heartexlabs/label-studio,dataframe_conversion_api_misused,0,6930
heartexlabs/label-studio,Chain_Indexing,0,6930
