project_name,smell_name,occurrences,Lines of Code
lucidrains/reformer-pytorch,gradients_not_cleared_before_backward_propagation,3,1406
lucidrains/reformer-pytorch,pytorch_call_method_misused,0,1406
lucidrains/reformer-pytorch,in_place_apis_misused,0,1406
lucidrains/reformer-pytorch,columns_and_datatype_not_explicitly_set,0,1406
lucidrains/reformer-pytorch,tensor_array_not_used,0,1406
lucidrains/reformer-pytorch,dataframe_conversion_api_misused,0,1406
lucidrains/reformer-pytorch,unnecessary_iteration,0,1406
lucidrains/reformer-pytorch,Chain_Indexing,0,1406
hysts/pytorch_image_classification,gradients_not_cleared_before_backward_propagation,2,4643
hysts/pytorch_image_classification,pytorch_call_method_misused,0,4643
hysts/pytorch_image_classification,in_place_apis_misused,0,4643
hysts/pytorch_image_classification,columns_and_datatype_not_explicitly_set,0,4643
hysts/pytorch_image_classification,tensor_array_not_used,0,4643
hysts/pytorch_image_classification,dataframe_conversion_api_misused,0,4643
hysts/pytorch_image_classification,unnecessary_iteration,0,4643
hysts/pytorch_image_classification,Chain_Indexing,0,4643
songlab-cal/tape,gradients_not_cleared_before_backward_propagation,1,4763
songlab-cal/tape,pytorch_call_method_misused,0,4763
songlab-cal/tape,in_place_apis_misused,0,4763
songlab-cal/tape,columns_and_datatype_not_explicitly_set,0,4763
songlab-cal/tape,tensor_array_not_used,0,4763
songlab-cal/tape,dataframe_conversion_api_misused,0,4763
songlab-cal/tape,unnecessary_iteration,0,4763
songlab-cal/tape,Chain_Indexing,0,4763
snipsco/tract,gradients_not_cleared_before_backward_propagation,0,249
snipsco/tract,pytorch_call_method_misused,2,249
snipsco/tract,in_place_apis_misused,0,249
snipsco/tract,columns_and_datatype_not_explicitly_set,0,249
snipsco/tract,tensor_array_not_used,0,249
snipsco/tract,dataframe_conversion_api_misused,0,249
snipsco/tract,unnecessary_iteration,0,249
snipsco/tract,Chain_Indexing,0,249
interpretml/interpret-text,gradients_not_cleared_before_backward_propagation,0,3659
interpretml/interpret-text,pytorch_call_method_misused,2,3659
interpretml/interpret-text,in_place_apis_misused,12,3659
interpretml/interpret-text,columns_and_datatype_not_explicitly_set,6,3659
interpretml/interpret-text,tensor_array_not_used,0,3659
interpretml/interpret-text,dataframe_conversion_api_misused,0,3659
interpretml/interpret-text,unnecessary_iteration,0,3659
interpretml/interpret-text,Chain_Indexing,0,3659
drscotthawley/panotti,gradients_not_cleared_before_backward_propagation,0,2175
drscotthawley/panotti,pytorch_call_method_misused,0,2175
drscotthawley/panotti,in_place_apis_misused,0,2175
drscotthawley/panotti,columns_and_datatype_not_explicitly_set,1,2175
drscotthawley/panotti,tensor_array_not_used,0,2175
drscotthawley/panotti,dataframe_conversion_api_misused,0,2175
drscotthawley/panotti,unnecessary_iteration,0,2175
drscotthawley/panotti,Chain_Indexing,0,2175
MAIF/melusine,gradients_not_cleared_before_backward_propagation,0,4435
MAIF/melusine,pytorch_call_method_misused,0,4435
MAIF/melusine,in_place_apis_misused,0,4435
MAIF/melusine,columns_and_datatype_not_explicitly_set,9,4435
MAIF/melusine,tensor_array_not_used,0,4435
MAIF/melusine,dataframe_conversion_api_misused,0,4435
MAIF/melusine,unnecessary_iteration,0,4435
MAIF/melusine,Chain_Indexing,0,4435
gjy3035/C-3-Framework,gradients_not_cleared_before_backward_propagation,0,4303
gjy3035/C-3-Framework,pytorch_call_method_misused,0,4303
gjy3035/C-3-Framework,in_place_apis_misused,0,4303
gjy3035/C-3-Framework,columns_and_datatype_not_explicitly_set,7,4303
gjy3035/C-3-Framework,tensor_array_not_used,0,4303
gjy3035/C-3-Framework,dataframe_conversion_api_misused,0,4303
gjy3035/C-3-Framework,unnecessary_iteration,0,4303
gjy3035/C-3-Framework,Chain_Indexing,0,4303
frankkramer-lab/MIScnn,gradients_not_cleared_before_backward_propagation,0,4637
frankkramer-lab/MIScnn,pytorch_call_method_misused,0,4637
frankkramer-lab/MIScnn,in_place_apis_misused,2,4637
frankkramer-lab/MIScnn,columns_and_datatype_not_explicitly_set,1,4637
frankkramer-lab/MIScnn,tensor_array_not_used,0,4637
frankkramer-lab/MIScnn,dataframe_conversion_api_misused,0,4637
frankkramer-lab/MIScnn,unnecessary_iteration,0,4637
frankkramer-lab/MIScnn,Chain_Indexing,0,4637
molecularsets/moses,gradients_not_cleared_before_backward_propagation,0,4587
molecularsets/moses,pytorch_call_method_misused,1,4587
molecularsets/moses,in_place_apis_misused,1,4587
molecularsets/moses,columns_and_datatype_not_explicitly_set,9,4587
molecularsets/moses,tensor_array_not_used,0,4587
molecularsets/moses,dataframe_conversion_api_misused,0,4587
molecularsets/moses,unnecessary_iteration,0,4587
molecularsets/moses,Chain_Indexing,0,4587
wikipedia2vec/wikipedia2vec,gradients_not_cleared_before_backward_propagation,2,1570
wikipedia2vec/wikipedia2vec,pytorch_call_method_misused,0,1570
wikipedia2vec/wikipedia2vec,in_place_apis_misused,0,1570
wikipedia2vec/wikipedia2vec,columns_and_datatype_not_explicitly_set,0,1570
wikipedia2vec/wikipedia2vec,tensor_array_not_used,0,1570
wikipedia2vec/wikipedia2vec,dataframe_conversion_api_misused,0,1570
wikipedia2vec/wikipedia2vec,unnecessary_iteration,0,1570
wikipedia2vec/wikipedia2vec,Chain_Indexing,0,1570
AICoE/prometheus-anomaly-detector,gradients_not_cleared_before_backward_propagation,0,1441
AICoE/prometheus-anomaly-detector,pytorch_call_method_misused,0,1441
AICoE/prometheus-anomaly-detector,in_place_apis_misused,4,1441
AICoE/prometheus-anomaly-detector,columns_and_datatype_not_explicitly_set,2,1441
