GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size
aimacode/aima-python,Y,4715,1188,27352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aimacode/aima-python/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/aimacode/aima-python/issues/1181 and https://github.com/aimacode/aima-python/issues/1190",https://github.com/aimacode/aima-python/blob/master/LICENSE is provided.,There are many files related to testing,111,2789,Large
alibaba/ai-matrix,N,136,290,107178,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/alibaba/ai-matrix/graphs/contributors shows that there are multiple contributors,CI is not used on the project but there's a lot of projects so I may miss out,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alibaba/ai-matrix/issues/2 and https://github.com/alibaba/ai-matrix/issues/51 but not often as there are more open than closed issues","There are many projects, some of them has license is provided.",There are many projects in this git and some of them have test files,6,1805,Large
allegroai/trains,Y,1347,640,115412,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allegroai/trains/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/allegroai/trains/issues/154 and https://github.com/allegroai/trains/issues/138",https://github.com/allegroai/trains/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,78,1564,Large
allenai/allennlp,Y,8655,2156,40659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/allennlp/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/allenai/allennlp/issues/4437",https://github.com/allenai/allennlp/blob/master/LICENSE is provided.,There are many files related to testing,251,2319,Large
amaiya/ktrain,Y,418,1315,13599,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amaiya/ktrain/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/amaiya/ktrain/issues/191 and https://github.com/amaiya/ktrain/issues/185",https://github.com/amaiya/ktrain/blob/master/LICENSE is provided.,There are many files related to testing,16,1687,Large
analyticalmindsltd/smote_variants,Y,164,236,12264,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,The project uses Travis and Circle CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/analyticalmindsltd/smote_variants/issues/24 and https://github.com/analyticalmindsltd/smote_variants/issues/11 but not often",https://github.com/analyticalmindsltd/smote_variants/blob/master/LICENSE is provided.,Only 1 test file,4,1811,Large
apache/beam,Y,4034,27591,141584,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/beam/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apache/beam/pull/12186 and https://github.com/apache/beam/pull/12190",https://github.com/apache/beam/blob/master/LICENSE is provided.,There are many files related to testing,302,2789,Large
apple/turicreate,Y,9707,1514,250459,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apple/turicreate/graphs/contributors shows that there are multiple contributors,The project uses Travis and Gitlab CI,There is a well-maintained documentation,Evidence of sustained commit activity but decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/apple/turicreate/issues/3247 and https://github.com/apple/turicreate/issues/3249",https://github.com/apple/turicreate/blob/master/LICENSE.md is provided.,There are many files related to testing,71,2120,Large
arviz-devs/arviz,Y,804,966,29227,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/arviz-devs/arviz/graphs/contributors shows that there are multiple contributors,The project uses Azure Pipeline CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/arviz-devs/arviz/issues/1262 and https://github.com/arviz-devs/arviz/issues/1270",https://github.com/arviz-devs/arviz/blob/master/LICENSE is provided.,There are many files related to testing,143,2975,Large
asappresearch/flambe,Y,208,661,12861,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/asappresearch/flambe/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity until recently,Do reply to issues last time but not recently and not often,https://github.com/asappresearch/flambe/blob/master/LICENSE is provided.,There are many files related to testing,18,1483,Large
