GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size
1989Ryan/Semantic_SLAM,N,100,117,9443,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,The author of the project does not reply to issues or close them.,https://github.com/1989Ryan/Semantic_SLAM/blob/master/LICENSE is provided.,Only 1 file related to testing,1,1642,Medium
Adlik/Adlik,Y,107,150,6325,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Adlik/Adlik/graphs/contributors shows that there are multiple contributors.,The project uses Azure Pipeline for CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Adlik/Adlik/issues/136 and https://github.com/Adlik/Adlik/issues/108.",https://github.com/Adlik/Adlik/blob/master/LICENSE is provided.,There are many files related to testing.,24,1458,Medium
advboxes/AdvBox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented but there are tutorials py files,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,12,1867,Medium
aisolab/nlp_classification,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"Only 2 issues, 1 open, 1 closed",https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1 test file for each project,3,1507,Medium
albumentations-team/albumentations,Y,5406,573,9200,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/albumentations-team/albumentations/graphs/contributors?from=2019-04-22&to=2020-03-12&type=c shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,commit activity decreasing,"The project maintainers respond to issues, as evidenced by https://github.com/albumentations-team/albumentations/issues/644 and https://github.com/albumentations-team/albumentations/issues/653 however there are s lot open issues",https://github.com/albumentations-team/albumentations/blob/master/LICENSE is provided.,There are many files related to testing,125,1934,Medium
amansrivastava17/embedding-as-service,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,10,1568,Medium
amzn/xfer,Y,159,193,10176,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/amzn/xfer/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/amzn/xfer/issues/70 and https://github.com/amzn/xfer/issues/78",https://github.com/amzn/xfer/blob/master/LICENSE is provided.,There are many projects in this git and some of them have test files,8,1839,Medium
AntonMu/TrainYourOwnYOLO,Y,191,314,5225,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,There are only 12 commits in the past month,"Only project author respond to issues, as evidenced by https://github.com/AntonMu/TrainYourOwnYOLO/issues/118 and https://github.com/AntonMu/TrainYourOwnYOLO/issues/108.",https://github.com/AntonMu/TrainYourOwnYOLO/blob/master/LICENSE is provided.,There are many files related to testing.,4,1513,Medium
apache/submarine,Y,263,375,6152,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apache/submarine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"5 open, 5 closed",https://github.com/apache/submarine/blob/master/LICENSE-binary and https://github.com/apache/submarine/blob/master/LICENSE-binary are provided.,There are many files related to testing,63,1456,Medium
apachecn/Interview,Y,6115,829,7337,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/apachecn/Interview/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/apachecn/Interview/blob/master/LICENSE is provided.,There are files related to testing,2,2169,Medium
