GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size
AaronWard/covidify,Y,422,270,1666,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/AaronWard/covidify/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,There is a well-maintained documentation,There are only 2 commits in the past month however there seems to be evidence of sustained commit activity as the commits are quite stable,"Only project author respond to issues, as evidenced by https://github.com/AaronWard/covidify/issues/9 and https://github.com/AaronWard/covidify/issues/27.",https://github.com/AaronWard/covidify/blob/master/LICENSE is provided.,There are 2 files related to testing.,8,1322,Small
adobe/antialiased-cnns,N,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,3,1588,Small
AFAgarap/cnn-svm,N,145,111,557,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,Issues all raised by author and he do answered others' questions,https://github.com/AFAgarap/cnn-svm/blob/master/LICENSE is provided.,there is no evidence of any testing done on the project.,2,2106,Small
AICoE/prometheus-anomaly-detector,N,145,135,1441,The source code of the project exists as ad-hoc scripts.,https://github.com/AICoE/prometheus-anomaly-detector/graphs/contributors shows that there are multiple contributors.,CI is not used on the project.,Most of the functions in the source code are not documented.,Not much commits with only 1 commit last month,"The project maintainers respond to issues, as evidenced by https://github.com/AICoE/prometheus-anomaly-detector/issues/68 and https://github.com/AICoE/prometheus-anomaly-detector/issues/64.",https://github.com/AICoE/prometheus-anomaly-detector/blob/master/LICENSE is provided.,There are 2 files related to testing.,14,1589,Small
aiqm/torchani,Y,153,358,4738,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/aiqm/torchani/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but not stable,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/aiqm/torchani/blob/master/LICENSE is provided.,There are many files related to testing,15,1997,Small
alfredfrancis/ai-chatbot-framework,Y,1340,378,1516,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/alfredfrancis/ai-chatbot-framework/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/alfredfrancis/ai-chatbot-framework/issues/130 and https://github.com/alfredfrancis/ai-chatbot-framework/issues/113 but not recently",https://github.com/alfredfrancis/ai-chatbot-framework/blob/master/License.txt is provided.,There are files related to testing,21,2469,Small
allenai/scibert,N,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing,6,1695,Small
alvinwan/neural-backed-decision-trees,Y,280,702,3383,The source code of the project exists as ad-hoc scripts.,https://github.com/alvinwan/neural-backed-decision-trees/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/alvinwan/neural-backed-decision-trees/blob/master/LICENSE is provided.,There are files related to testing,12,1272,Small
anicolson/DeepXi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,There are files related to testing,2,1938,Small
apachecn/pytorch-doc-zh,N,2317,788,41,The source code of the project exists as ad-hoc scripts.,https://github.com/apachecn/pytorch-doc-zh/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/apachecn/pytorch-doc-zh/issues/497 and https://github.com/apachecn/pytorch-doc-zh/issues/517 but not often and not recently",https://github.com/apache/beam/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,88,2083,Small
